trap,year,month,spec,number,wnv
T002,2009,5,CULEX ERRATICUS,0.0,0.0
T002,2009,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2009,6,CULEX SALINARIUS,0.0,0.0
T002,2009,6,CULEX TARSALIS,0.0,0.0
T002,2009,6,CULEX PIPIENS,1.0,0.0
T002,2009,6,CULEX RESTUANS,9.0,0.0
T002,2009,6,CULEX TERRITANS,0.0,0.0
T002,2009,6,CULEX ERRATICUS,0.0,0.0
T002,2009,6,CULEX PIPIENS/RESTUANS,36.0,0.0
T002,2009,7,CULEX SALINARIUS,0.0,0.0
T002,2009,7,CULEX TARSALIS,0.0,0.0
T002,2009,7,CULEX PIPIENS,5.0,0.0
T002,2009,7,CULEX RESTUANS,74.0,0.0
T002,2009,7,CULEX TERRITANS,0.0,0.0
T002,2009,7,CULEX ERRATICUS,0.0,0.0
T002,2009,7,CULEX PIPIENS/RESTUANS,108.0,0.0
T002,2009,8,CULEX SALINARIUS,0.0,0.0
T002,2009,8,CULEX TARSALIS,0.0,0.0
T002,2009,8,CULEX PIPIENS,8.0,0.0
T002,2009,8,CULEX RESTUANS,16.0,0.0
T002,2009,8,CULEX TERRITANS,0.0,0.0
T002,2009,8,CULEX ERRATICUS,0.0,0.0
T002,2009,8,CULEX PIPIENS/RESTUANS,73.0,0.0
T002,2009,9,CULEX SALINARIUS,0.0,0.0
T002,2009,9,CULEX TARSALIS,0.0,0.0
T002,2009,9,CULEX PIPIENS,7.0,0.0
T002,2009,9,CULEX RESTUANS,11.0,0.0
T002,2009,9,CULEX TERRITANS,0.0,0.0
T002,2009,9,CULEX ERRATICUS,0.0,0.0
T002,2009,9,CULEX PIPIENS/RESTUANS,58.0,0.0
T002,2009,10,CULEX SALINARIUS,0.0,0.0
T002,2009,10,CULEX TARSALIS,0.0,0.0
T002,2009,10,CULEX PIPIENS,0.0,0.0
T002,2009,10,CULEX RESTUANS,0.0,0.0
T002,2009,10,CULEX TERRITANS,0.0,0.0
T002,2009,10,CULEX ERRATICUS,0.0,0.0
T002,2009,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2011,5,CULEX SALINARIUS,0.0,0.0
T002,2011,5,CULEX TARSALIS,0.0,0.0
T002,2011,5,CULEX PIPIENS,0.0,0.0
T002,2011,5,CULEX RESTUANS,0.0,0.0
T002,2011,5,CULEX TERRITANS,0.0,0.0
T002,2011,5,CULEX ERRATICUS,0.0,0.0
T002,2011,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2011,6,CULEX SALINARIUS,0.0,0.0
T002,2011,6,CULEX TARSALIS,0.0,0.0
T002,2011,6,CULEX PIPIENS,1.0,0.0
T002,2011,6,CULEX RESTUANS,9.0,0.0
T002,2011,6,CULEX TERRITANS,0.0,0.0
T002,2011,6,CULEX ERRATICUS,0.0,0.0
T002,2011,6,CULEX PIPIENS/RESTUANS,19.0,1.0
T002,2011,7,CULEX SALINARIUS,0.0,0.0
T002,2011,7,CULEX TARSALIS,0.0,0.0
T002,2011,7,CULEX PIPIENS,0.0,0.0
T002,2011,7,CULEX RESTUANS,874.0,0.0
T002,2011,7,CULEX TERRITANS,0.0,0.0
T002,2011,7,CULEX ERRATICUS,0.0,0.0
T002,2011,7,CULEX PIPIENS/RESTUANS,359.0,0.0
T002,2011,8,CULEX SALINARIUS,0.0,0.0
T002,2011,8,CULEX TARSALIS,0.0,0.0
T002,2011,8,CULEX PIPIENS,67.0,1.0
T002,2011,8,CULEX RESTUANS,41.0,0.0
T002,2011,8,CULEX TERRITANS,0.0,0.0
T002,2011,8,CULEX ERRATICUS,0.0,0.0
T002,2011,8,CULEX PIPIENS/RESTUANS,150.0,1.0
T002,2011,9,CULEX SALINARIUS,0.0,0.0
T002,2011,9,CULEX TARSALIS,0.0,0.0
T002,2011,9,CULEX PIPIENS,88.0,1.0
T002,2011,9,CULEX RESTUANS,14.0,0.0
T002,2011,9,CULEX TERRITANS,0.0,0.0
T002,2011,9,CULEX ERRATICUS,0.0,0.0
T002,2011,9,CULEX PIPIENS/RESTUANS,115.0,1.0
T002,2011,10,CULEX SALINARIUS,0.0,0.0
T002,2011,10,CULEX TARSALIS,0.0,0.0
T002,2011,10,CULEX PIPIENS,0.0,0.0
T002,2011,10,CULEX RESTUANS,0.0,0.0
T002,2011,10,CULEX TERRITANS,0.0,0.0
T002,2011,10,CULEX ERRATICUS,0.0,0.0
T002,2011,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2013,5,CULEX SALINARIUS,0.0,0.0
T002,2013,5,CULEX TARSALIS,0.0,0.0
T002,2013,5,CULEX PIPIENS,0.0,0.0
T002,2013,5,CULEX RESTUANS,0.0,0.0
T002,2013,5,CULEX TERRITANS,0.0,0.0
T002,2013,5,CULEX ERRATICUS,0.0,0.0
T002,2013,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2013,6,CULEX SALINARIUS,0.0,0.0
T002,2013,6,CULEX TARSALIS,0.0,0.0
T002,2013,6,CULEX PIPIENS,63.0,1.0
T002,2013,6,CULEX RESTUANS,0.0,0.0
T002,2013,6,CULEX TERRITANS,0.0,0.0
T002,2013,6,CULEX ERRATICUS,0.0,0.0
T002,2013,6,CULEX PIPIENS/RESTUANS,21.0,0.0
T002,2013,7,CULEX SALINARIUS,0.0,0.0
T002,2013,7,CULEX TARSALIS,0.0,0.0
T002,2013,7,CULEX PIPIENS,0.0,0.0
T002,2013,7,CULEX RESTUANS,0.0,0.0
T002,2013,7,CULEX TERRITANS,0.0,0.0
T002,2013,7,CULEX ERRATICUS,0.0,0.0
T002,2013,7,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2013,8,CULEX SALINARIUS,0.0,0.0
T002,2013,8,CULEX TARSALIS,0.0,0.0
T002,2013,8,CULEX PIPIENS,0.0,0.0
T002,2013,8,CULEX RESTUANS,0.0,0.0
T002,2013,8,CULEX TERRITANS,0.0,0.0
T002,2013,8,CULEX ERRATICUS,0.0,0.0
T002,2013,8,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2013,9,CULEX SALINARIUS,0.0,0.0
T002,2013,9,CULEX TARSALIS,0.0,0.0
T002,2013,9,CULEX PIPIENS,0.0,0.0
T002,2013,9,CULEX RESTUANS,0.0,0.0
T002,2013,9,CULEX TERRITANS,0.0,0.0
T002,2013,9,CULEX ERRATICUS,0.0,0.0
T002,2013,9,CULEX PIPIENS/RESTUANS,0.0,0.0
T002,2013,10,CULEX SALINARIUS,0.0,0.0
T002,2013,10,CULEX TARSALIS,0.0,0.0
T002,2013,10,CULEX PIPIENS,0.0,0.0
T002,2013,10,CULEX RESTUANS,0.0,0.0
T002,2013,10,CULEX TERRITANS,0.0,0.0
T002,2013,10,CULEX ERRATICUS,0.0,0.0
T002,2013,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2007,5,CULEX SALINARIUS,0.0,0.0
T091,2007,5,CULEX TARSALIS,0.0,0.0
T091,2007,5,CULEX PIPIENS,0.0,0.0
T091,2007,5,CULEX RESTUANS,1.0,0.0
T091,2007,5,CULEX TERRITANS,0.0,0.0
T091,2007,5,CULEX ERRATICUS,0.0,0.0
T091,2007,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2007,6,CULEX SALINARIUS,0.0,0.0
T091,2007,6,CULEX TARSALIS,0.0,0.0
T091,2007,6,CULEX PIPIENS,0.0,0.0
T091,2007,6,CULEX RESTUANS,0.0,0.0
T091,2007,6,CULEX TERRITANS,0.0,0.0
T091,2007,6,CULEX ERRATICUS,0.0,0.0
T091,2007,6,CULEX PIPIENS/RESTUANS,1.0,0.0
T091,2007,7,CULEX SALINARIUS,0.0,0.0
T091,2007,7,CULEX TARSALIS,0.0,0.0
T091,2007,7,CULEX PIPIENS,20.0,0.0
T091,2007,7,CULEX RESTUANS,1.0,0.0
T091,2007,7,CULEX TERRITANS,0.0,0.0
T091,2007,7,CULEX ERRATICUS,0.0,0.0
T091,2007,7,CULEX PIPIENS/RESTUANS,39.0,0.0
T091,2007,8,CULEX SALINARIUS,0.0,0.0
T091,2007,8,CULEX TARSALIS,0.0,0.0
T091,2007,8,CULEX PIPIENS,24.0,0.0
T091,2007,8,CULEX RESTUANS,2.0,0.0
T091,2007,8,CULEX TERRITANS,1.0,0.0
T091,2007,8,CULEX ERRATICUS,0.0,0.0
T091,2007,8,CULEX PIPIENS/RESTUANS,46.0,1.0
T091,2007,9,CULEX SALINARIUS,0.0,0.0
T091,2007,9,CULEX TARSALIS,0.0,0.0
T091,2007,9,CULEX PIPIENS,0.0,0.0
T091,2007,9,CULEX RESTUANS,0.0,0.0
T091,2007,9,CULEX TERRITANS,0.0,0.0
T091,2007,9,CULEX ERRATICUS,0.0,0.0
T091,2007,9,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2007,10,CULEX SALINARIUS,0.0,0.0
T091,2007,10,CULEX TARSALIS,0.0,0.0
T091,2007,10,CULEX PIPIENS,0.0,0.0
T091,2007,10,CULEX RESTUANS,0.0,0.0
T091,2007,10,CULEX TERRITANS,0.0,0.0
T091,2007,10,CULEX ERRATICUS,0.0,0.0
T091,2007,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2009,5,CULEX SALINARIUS,0.0,0.0
T091,2009,5,CULEX TARSALIS,0.0,0.0
T091,2009,5,CULEX PIPIENS,0.0,0.0
T091,2009,5,CULEX RESTUANS,0.0,0.0
T091,2009,5,CULEX TERRITANS,0.0,0.0
T091,2009,5,CULEX ERRATICUS,0.0,0.0
T091,2009,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2009,6,CULEX SALINARIUS,0.0,0.0
T091,2009,6,CULEX TARSALIS,0.0,0.0
T091,2009,6,CULEX PIPIENS,0.0,0.0
T091,2009,6,CULEX RESTUANS,0.0,0.0
T091,2009,6,CULEX TERRITANS,0.0,0.0
T091,2009,6,CULEX ERRATICUS,0.0,0.0
T091,2009,6,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2009,7,CULEX SALINARIUS,0.0,0.0
T091,2009,7,CULEX TARSALIS,0.0,0.0
T091,2009,7,CULEX PIPIENS,0.0,0.0
T091,2009,7,CULEX RESTUANS,0.0,0.0
T091,2009,7,CULEX TERRITANS,0.0,0.0
T091,2009,7,CULEX ERRATICUS,0.0,0.0
T091,2009,7,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2009,8,CULEX SALINARIUS,0.0,0.0
T091,2009,8,CULEX TARSALIS,0.0,0.0
T091,2009,8,CULEX PIPIENS,0.0,0.0
T091,2009,8,CULEX RESTUANS,0.0,0.0
T091,2009,8,CULEX TERRITANS,0.0,0.0
T091,2009,8,CULEX ERRATICUS,0.0,0.0
T091,2009,8,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2009,9,CULEX SALINARIUS,0.0,0.0
T091,2009,9,CULEX TARSALIS,0.0,0.0
T091,2009,9,CULEX PIPIENS,0.0,0.0
T091,2009,9,CULEX RESTUANS,0.0,0.0
T091,2009,9,CULEX TERRITANS,0.0,0.0
T091,2009,9,CULEX ERRATICUS,0.0,0.0
T091,2009,9,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2009,10,CULEX SALINARIUS,0.0,0.0
T091,2009,10,CULEX TARSALIS,0.0,0.0
T091,2009,10,CULEX PIPIENS,0.0,0.0
T091,2009,10,CULEX RESTUANS,0.0,0.0
T091,2009,10,CULEX TERRITANS,0.0,0.0
T091,2009,10,CULEX ERRATICUS,0.0,0.0
T091,2009,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2011,5,CULEX SALINARIUS,0.0,0.0
T091,2011,5,CULEX TARSALIS,0.0,0.0
T091,2011,5,CULEX PIPIENS,0.0,0.0
T091,2011,5,CULEX RESTUANS,0.0,0.0
T091,2011,5,CULEX TERRITANS,0.0,0.0
T091,2011,5,CULEX ERRATICUS,0.0,0.0
T091,2011,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2011,6,CULEX SALINARIUS,0.0,0.0
T091,2011,6,CULEX TARSALIS,0.0,0.0
T091,2011,6,CULEX PIPIENS,0.0,0.0
T091,2011,6,CULEX RESTUANS,0.0,0.0
T091,2011,6,CULEX TERRITANS,0.0,0.0
T091,2011,6,CULEX ERRATICUS,0.0,0.0
T091,2011,6,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2011,7,CULEX SALINARIUS,0.0,0.0
T091,2011,7,CULEX TARSALIS,0.0,0.0
T091,2011,7,CULEX PIPIENS,0.0,0.0
T091,2011,7,CULEX RESTUANS,0.0,0.0
T091,2011,7,CULEX TERRITANS,0.0,0.0
T091,2011,7,CULEX ERRATICUS,0.0,0.0
T091,2011,7,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2011,8,CULEX SALINARIUS,0.0,0.0
T091,2011,8,CULEX TARSALIS,0.0,0.0
T091,2011,8,CULEX PIPIENS,0.0,0.0
T091,2011,8,CULEX RESTUANS,0.0,0.0
T091,2011,8,CULEX TERRITANS,0.0,0.0
T091,2011,8,CULEX ERRATICUS,0.0,0.0
T091,2011,8,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2011,9,CULEX SALINARIUS,0.0,0.0
T091,2011,9,CULEX TARSALIS,0.0,0.0
T091,2011,9,CULEX PIPIENS,0.0,0.0
T091,2011,9,CULEX RESTUANS,0.0,0.0
T091,2011,9,CULEX TERRITANS,0.0,0.0
T091,2011,9,CULEX ERRATICUS,0.0,0.0
T091,2011,9,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2011,10,CULEX SALINARIUS,0.0,0.0
T091,2011,10,CULEX TARSALIS,0.0,0.0
T091,2011,10,CULEX PIPIENS,0.0,0.0
T091,2011,10,CULEX RESTUANS,0.0,0.0
T091,2011,10,CULEX TERRITANS,0.0,0.0
T091,2011,10,CULEX ERRATICUS,0.0,0.0
T091,2011,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2013,5,CULEX SALINARIUS,0.0,0.0
T091,2013,5,CULEX TARSALIS,0.0,0.0
T091,2013,5,CULEX PIPIENS,0.0,0.0
T091,2013,5,CULEX RESTUANS,0.0,0.0
T091,2013,5,CULEX TERRITANS,0.0,0.0
T091,2013,5,CULEX ERRATICUS,0.0,0.0
T091,2013,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2013,6,CULEX SALINARIUS,0.0,0.0
T091,2013,6,CULEX TARSALIS,0.0,0.0
T091,2013,6,CULEX PIPIENS,0.0,0.0
T091,2013,6,CULEX RESTUANS,0.0,0.0
T091,2013,6,CULEX TERRITANS,0.0,0.0
T091,2013,6,CULEX ERRATICUS,0.0,0.0
T091,2013,6,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2013,7,CULEX SALINARIUS,0.0,0.0
T091,2013,7,CULEX TARSALIS,0.0,0.0
T091,2013,7,CULEX PIPIENS,0.0,0.0
T091,2013,7,CULEX RESTUANS,0.0,0.0
T091,2013,7,CULEX TERRITANS,0.0,0.0
T091,2013,7,CULEX ERRATICUS,0.0,0.0
T091,2013,7,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2013,8,CULEX SALINARIUS,0.0,0.0
T091,2013,8,CULEX TARSALIS,0.0,0.0
T091,2013,8,CULEX PIPIENS,0.0,0.0
T091,2013,8,CULEX RESTUANS,0.0,0.0
T091,2013,8,CULEX TERRITANS,0.0,0.0
T091,2013,8,CULEX ERRATICUS,0.0,0.0
T091,2013,8,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2013,9,CULEX SALINARIUS,0.0,0.0
T091,2013,9,CULEX TARSALIS,0.0,0.0
T091,2013,9,CULEX PIPIENS,0.0,0.0
T091,2013,9,CULEX RESTUANS,0.0,0.0
T091,2013,9,CULEX TERRITANS,0.0,0.0
T091,2013,9,CULEX ERRATICUS,0.0,0.0
T091,2013,9,CULEX PIPIENS/RESTUANS,0.0,0.0
T091,2013,10,CULEX SALINARIUS,0.0,0.0
T091,2013,10,CULEX TARSALIS,0.0,0.0
T091,2013,10,CULEX PIPIENS,0.0,0.0
T091,2013,10,CULEX RESTUANS,0.0,0.0
T091,2013,10,CULEX TERRITANS,0.0,0.0
T091,2013,10,CULEX ERRATICUS,0.0,0.0
T091,2013,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2007,5,CULEX SALINARIUS,0.0,0.0
T159,2007,5,CULEX TARSALIS,0.0,0.0
T159,2007,5,CULEX PIPIENS,0.0,0.0
T159,2007,5,CULEX RESTUANS,1.0,0.0
T159,2007,5,CULEX TERRITANS,0.0,0.0
T159,2007,5,CULEX ERRATICUS,0.0,0.0
T159,2007,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2007,6,CULEX SALINARIUS,0.0,0.0
T159,2007,6,CULEX TARSALIS,0.0,0.0
T159,2007,6,CULEX PIPIENS,0.0,0.0
T159,2007,6,CULEX RESTUANS,1.0,0.0
T159,2007,6,CULEX TERRITANS,0.0,0.0
T159,2007,6,CULEX ERRATICUS,0.0,0.0
T159,2007,6,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2007,7,CULEX SALINARIUS,0.0,0.0
T159,2007,7,CULEX TARSALIS,0.0,0.0
T159,2007,7,CULEX PIPIENS,0.0,0.0
T159,2007,7,CULEX RESTUANS,0.0,0.0
T159,2007,7,CULEX TERRITANS,0.0,0.0
T159,2007,7,CULEX ERRATICUS,0.0,0.0
T159,2007,7,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2007,8,CULEX SALINARIUS,0.0,0.0
T159,2007,8,CULEX TARSALIS,0.0,0.0
T159,2007,8,CULEX PIPIENS,134.0,1.0
T159,2007,8,CULEX RESTUANS,4.0,0.0
T159,2007,8,CULEX TERRITANS,9.0,0.0
T159,2007,8,CULEX ERRATICUS,0.0,0.0
T159,2007,8,CULEX PIPIENS/RESTUANS,80.0,1.0
T159,2007,9,CULEX SALINARIUS,2.0,0.0
T159,2007,9,CULEX TARSALIS,0.0,0.0
T159,2007,9,CULEX PIPIENS,7.0,0.0
T159,2007,9,CULEX RESTUANS,129.0,0.0
T159,2007,9,CULEX TERRITANS,0.0,0.0
T159,2007,9,CULEX ERRATICUS,0.0,0.0
T159,2007,9,CULEX PIPIENS/RESTUANS,250.0,0.0
T159,2007,10,CULEX SALINARIUS,0.0,0.0
T159,2007,10,CULEX TARSALIS,0.0,0.0
T159,2007,10,CULEX PIPIENS,1.0,0.0
T159,2007,10,CULEX RESTUANS,4.0,0.0
T159,2007,10,CULEX TERRITANS,0.0,0.0
T159,2007,10,CULEX ERRATICUS,0.0,0.0
T159,2007,10,CULEX PIPIENS/RESTUANS,5.0,0.0
T159,2009,5,CULEX SALINARIUS,0.0,0.0
T159,2009,5,CULEX TARSALIS,0.0,0.0
T159,2009,5,CULEX PIPIENS,1.0,0.0
T159,2009,5,CULEX RESTUANS,7.0,0.0
T159,2009,5,CULEX TERRITANS,0.0,0.0
T159,2009,5,CULEX ERRATICUS,0.0,0.0
T159,2009,5,CULEX PIPIENS/RESTUANS,14.0,0.0
T159,2009,6,CULEX SALINARIUS,0.0,0.0
T159,2009,6,CULEX TARSALIS,0.0,0.0
T159,2009,6,CULEX PIPIENS,2.0,0.0
T159,2009,6,CULEX RESTUANS,7.0,0.0
T159,2009,6,CULEX TERRITANS,1.0,0.0
T159,2009,6,CULEX ERRATICUS,0.0,0.0
T159,2009,6,CULEX PIPIENS/RESTUANS,15.0,0.0
T159,2009,7,CULEX SALINARIUS,0.0,0.0
T159,2009,7,CULEX TARSALIS,0.0,0.0
T159,2009,7,CULEX PIPIENS,0.0,0.0
T159,2009,7,CULEX RESTUANS,13.0,0.0
T159,2009,7,CULEX TERRITANS,0.0,0.0
T159,2009,7,CULEX ERRATICUS,0.0,0.0
T159,2009,7,CULEX PIPIENS/RESTUANS,9.0,0.0
T159,2009,8,CULEX SALINARIUS,0.0,0.0
T159,2009,8,CULEX TARSALIS,0.0,0.0
T159,2009,8,CULEX PIPIENS,5.0,0.0
T159,2009,8,CULEX RESTUANS,1.0,0.0
T159,2009,8,CULEX TERRITANS,0.0,0.0
T159,2009,8,CULEX ERRATICUS,0.0,0.0
T159,2009,8,CULEX PIPIENS/RESTUANS,1.0,0.0
T159,2009,9,CULEX SALINARIUS,0.0,0.0
T159,2009,9,CULEX TARSALIS,0.0,0.0
T159,2009,9,CULEX PIPIENS,0.0,0.0
T159,2009,9,CULEX RESTUANS,2.0,0.0
T159,2009,9,CULEX TERRITANS,0.0,0.0
T159,2009,9,CULEX ERRATICUS,0.0,0.0
T159,2009,9,CULEX PIPIENS/RESTUANS,7.0,0.0
T159,2009,10,CULEX SALINARIUS,0.0,0.0
T159,2009,10,CULEX TARSALIS,0.0,0.0
T159,2009,10,CULEX PIPIENS,2.0,0.0
T159,2009,10,CULEX RESTUANS,1.0,0.0
T159,2009,10,CULEX TERRITANS,0.0,0.0
T159,2009,10,CULEX ERRATICUS,0.0,0.0
T159,2009,10,CULEX PIPIENS/RESTUANS,6.0,0.0
T159,2011,5,CULEX SALINARIUS,0.0,0.0
T159,2011,5,CULEX TARSALIS,0.0,0.0
T159,2011,5,CULEX PIPIENS,0.0,0.0
T159,2011,5,CULEX RESTUANS,0.0,0.0
T159,2011,5,CULEX TERRITANS,0.0,0.0
T159,2011,5,CULEX ERRATICUS,0.0,0.0
T159,2011,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2011,6,CULEX SALINARIUS,0.0,0.0
T159,2011,6,CULEX TARSALIS,0.0,0.0
T159,2011,6,CULEX PIPIENS,0.0,0.0
T159,2011,6,CULEX RESTUANS,1.0,0.0
T159,2011,6,CULEX TERRITANS,0.0,0.0
T159,2011,6,CULEX ERRATICUS,0.0,0.0
T159,2011,6,CULEX PIPIENS/RESTUANS,4.0,0.0
T159,2011,7,CULEX SALINARIUS,0.0,0.0
T159,2011,7,CULEX TARSALIS,0.0,0.0
T159,2011,7,CULEX PIPIENS,0.0,0.0
T159,2011,7,CULEX RESTUANS,88.0,0.0
T159,2011,7,CULEX TERRITANS,0.0,0.0
T159,2011,7,CULEX ERRATICUS,0.0,0.0
T159,2011,7,CULEX PIPIENS/RESTUANS,37.0,1.0
T159,2011,8,CULEX SALINARIUS,0.0,0.0
T159,2011,8,CULEX TARSALIS,0.0,0.0
T159,2011,8,CULEX PIPIENS,8.0,0.0
T159,2011,8,CULEX RESTUANS,46.0,0.0
T159,2011,8,CULEX TERRITANS,0.0,0.0
T159,2011,8,CULEX ERRATICUS,0.0,0.0
T159,2011,8,CULEX PIPIENS/RESTUANS,174.0,0.0
T159,2011,9,CULEX SALINARIUS,0.0,0.0
T159,2011,9,CULEX TARSALIS,0.0,0.0
T159,2011,9,CULEX PIPIENS,89.0,0.0
T159,2011,9,CULEX RESTUANS,4.0,0.0
T159,2011,9,CULEX TERRITANS,0.0,0.0
T159,2011,9,CULEX ERRATICUS,0.0,0.0
T159,2011,9,CULEX PIPIENS/RESTUANS,140.0,1.0
T159,2011,10,CULEX SALINARIUS,0.0,0.0
T159,2011,10,CULEX TARSALIS,0.0,0.0
T159,2011,10,CULEX PIPIENS,0.0,0.0
T159,2011,10,CULEX RESTUANS,0.0,0.0
T159,2011,10,CULEX TERRITANS,0.0,0.0
T159,2011,10,CULEX ERRATICUS,0.0,0.0
T159,2011,10,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2013,5,CULEX SALINARIUS,0.0,0.0
T159,2013,5,CULEX TARSALIS,0.0,0.0
T159,2013,5,CULEX PIPIENS,0.0,0.0
T159,2013,5,CULEX RESTUANS,0.0,0.0
T159,2013,5,CULEX TERRITANS,0.0,0.0
T159,2013,5,CULEX ERRATICUS,0.0,0.0
T159,2013,5,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2013,6,CULEX SALINARIUS,0.0,0.0
T159,2013,6,CULEX TARSALIS,0.0,0.0
T159,2013,6,CULEX PIPIENS,6.0,0.0
T159,2013,6,CULEX RESTUANS,0.0,0.0
T159,2013,6,CULEX TERRITANS,0.0,0.0
T159,2013,6,CULEX ERRATICUS,0.0,0.0
T159,2013,6,CULEX PIPIENS/RESTUANS,53.0,0.0
T159,2013,7,CULEX SALINARIUS,0.0,0.0
T159,2013,7,CULEX TARSALIS,0.0,0.0
T159,2013,7,CULEX PIPIENS,0.0,0.0
T159,2013,7,CULEX RESTUANS,0.0,0.0
T159,2013,7,CULEX TERRITANS,0.0,0.0
T159,2013,7,CULEX ERRATICUS,0.0,0.0
T159,2013,7,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2013,8,CULEX SALINARIUS,0.0,0.0
T159,2013,8,CULEX TARSALIS,0.0,0.0
T159,2013,8,CULEX PIPIENS,0.0,0.0
T159,2013,8,CULEX RESTUANS,0.0,0.0
T159,2013,8,CULEX TERRITANS,0.0,0.0
T159,2013,8,CULEX ERRATICUS,0.0,0.0
T159,2013,8,CULEX PIPIENS/RESTUANS,0.0,0.0
T159,2013,9,CULEX SALINARIUS,0.0,0.0
T159,2013,9,CULEX TARSALIS,0.0,0.0
T159,2013,9,CULEX PIPIENS,0.0,0.0
